V;I
0.188;0.202
0.241;0.26
0.314;0.338
0.466;0.502
0.631;0.682
0.830;0.899
0.911;0.98
1.087;1.185
1.222;1.333
1.644;1.796
2.03;2.1
2.33;2.4
2.65;2.74
2.73;2.81
3.2;3.3
3.25;3.35
3.45;3.55
3.54;3.65
3.76;3.88
3.83;3.95
