n;v;a;
1;0.02;1.18
2;0.06;3.16
3;0.07;3.9
4;0.11;5.59
5;0.14;6.88
6;0.25;10.85
7;0.36;14.11
8;0.52;17.20
9;0.74;19.79
10;1.17;22
11;1.55;23.3
12;1.98;24.8
13;2.29;26
14;2.69;27.6
15;3.02;29.17
16;3.3830.3
17;3.73;31.8
18;4.14;33.1
19;4.47;34.4
20;4.83;36
21;5.20;37.4
22;5.63;38.7
23;6;40.2
