V;I
2.25;0.001
2.34;0.009
2.51;0.078
2.57;0.119
2.75;0.254
2.9;0.379
3.06;0.507
3.13;0.566
3.24;0.662
3.34;0.752
3.48;0.871
3.61;0.987

