V;I
1.59;0.002
1.69;0.015
1.75;0.032
1.84;0.083
1.95;0.161
2.05;0.239
2.16;0.327
2.34;0.483
2.5;0.612
2.64;0.734
2.78;0.857
2.86;0.930
